time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
7.4856	916340.6306	5086.669922	2.881871419	0.842503149	27.92011018	4.684257156	-0.343322754	0.040073312	-0.006424753	916335.9463	5087.013245	2.841798107	0.848927902
7.5402	916065.8208	5086.669922	2.880102993	0.860167002	26.84845362	12.49135242	2.403259277	0.033472676	-0.038837637	916053.3295	5084.266663	2.846630317	0.899004638
7.5948	915766.0284	5086.669922	2.87833457	0.884896534	24.08239965	-6.831208353	3.089904785	0.02590542	-0.064151175	915772.8596	5083.580017	2.85242915	0.949047709
7.6494	915491.2186	5086.669922	2.87833457	0.913159059	20.98436045	1.951773815	4.463195801	0.029164311	-0.029618114	915489.2668	5082.206726	2.849170259	0.942777173
7.704	915216.4089	5075.683594	2.880102993	0.936122523	16.12359948	14.05277147	-4.119873047	-0.077136309	0.02396433	915202.3561	5079.803467	2.957239302	0.912158193
7.7586	914941.5991	5075.683594	2.887176711	0.952020395	10.10299957	6.636030971	-1.71661377	0.004032187	0.083007842	914934.9631	5077.400208	2.883144525	0.869012553
7.8132	914641.8067	5075.683594	2.890713587	0.969684782	17.03874929	-20.29844768	-2.059936523	0.072192733	0.000867342	914662.1051	5077.74353	2.818520854	0.96881744
7.8678	914366.9969	5075.683594	2.888945148	0.989115714	17.23394604	-8.978159549	-1.71661377	-0.022066557	-0.108128662	914375.9751	5077.400208	2.911011705	1.097244376
7.9224	914092.1871	5075.683594	2.894250474	1.019145562	20.98436045	-1.561419052	2.746582031	0.01513451	-0.012560393	914093.7486	5072.937012	2.879115964	1.031705955
7.9746	913817.3774	5075.683594	2.894250474	1.040343269	21.58362492	-13.85759409	2.403259277	0.105113093	0.016479492	913831.235	5073.280334	2.789137381	1.023863777
8.0292	913542.5676	5075.683594	2.885408278	1.054475153	18.81757096	-8.002272642	4.463195801	-0.007180607	0.026469984	913550.5699	5071.220398	2.892588884	1.028005169
8.0838	913267.7579	5075.683594	2.887176711	1.070373599	18.06179974	-0.195177382	6.866455078	-0.040377107	-0.010279605	913267.9531	5068.817139	2.927553818	1.080653205
8.1384	912992.9481	5064.697266	2.894250474	1.091571656	18.81757096	2.342128578	-2.403259277	0.020547582	-0.051205291	912990.606	5067.100525	2.873702891	1.142776947
8.193	912718.1384	5064.697266	2.894250474	1.118069437	18.81757096	6.831208353	-2.059936523	0.106190186	0.091199411	912711.3072	5066.757202	2.788060288	1.026870026
8.2476	912418.3459	5064.697266	2.887176711	1.125135553	20.15650675	-7.80709526	-1.71661377	-0.028584339	-0.023353979	912426.153	5066.413879	2.915761051	1.148489531
8.3022	912143.5362	5064.697266	2.892482029	1.148100546	18.06179974	-8.782982168	1.71661377	0.002209417	0.057533675	912152.3192	5062.980652	2.890272612	1.09056687
8.3568	911868.7264	5064.697266	2.894250474	1.160466387	18.81757096	-0.390354763	2.746582031	0.037808658	-0.04516602	911869.1168	5061.950684	2.856441815	1.205632408
